What is benchmarking?,"Run two algorithms on a computer and measure speed. Its difference will depend on implementation, compiler, computer, data, network"
What is Analysis of Algorithms?,Analysis the time complexity of an algorithm and compare its difference.
How many search strategies are there in uninformed search strategies?,"Breadth First Search, Uniform Cost Search, Depth First Search, Depth Limited Search and Iterative Deepening Search"
List some search strategies in uninformed search strategies,"Breadth First Search, Uniform Cost Search, Depth First Search, Depth Limited Search and Iterative Deepening Search"
What are the search strategies belong to uninformed search strategies?,"Breadth First Search, Uniform Cost Search, Depth First Search, Depth Limited Search and Iterative Deepening Search"
Compare uninformed search strategies and informed search strategies?,Informed search is more efficient than Uninformed search. Uninformed search systematically generates new states and tests them against the goal.
What is the relationship between uninformed search strategies and informed search strategies?,Informed search is more efficient than Uninformed search. Uninformed search systematically generates new states and tests them against the goal.
What is the difference between uninformed search strategies and informed search strategies?,Informed search is more efficient than Uninformed search. Uninformed search systematically generates new states and tests them against the goal.
What is Breadth-First Search or BFS?,"All nodes are expanded at a given depth in the tree before any nodes at the next level are expanded. Expand root first, then all nodes generated by root, then All nodes generated by those nodes, etc."
Describe Breadth-First Search or BFS,"All nodes are expanded at a given depth in the tree before any nodes at the next level are expanded. Expand root first, then all nodes generated by root, then All nodes generated by those nodes, etc."
What are the properties of Breadth-First Search or BFS?,It is complete. Its time complexity is O(b^d). Its space complexity is O(b^d). It is optimal.
What is the biggest problem of Breadth-First Search or BFS?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is the main drawback or disadvantage of Breadth-First Search or BFS?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is Uniform-Cost Search or UCS?,"Expand root first, then expand least-cost unexpanded node"
How to implement Uniform-Cost Search or UCS?,QUEUEING FUNCTION = insert nodes in order of increasing path cost.
How to implement Breadth-First Search or BFS?,QUEUEING-FUNCTION = put newly generated successors at end of queue
What is the relationship between Uniform-Cost Search or UCS and Breadth-First Search or BFS?,Uniform-Cost Search can reduce to Breadth First Search when all actions have same cost
What are the properties of Uniform-Cost Search or UCS?,It is complete. Its time complexity is O(b^⌈C∗/ε⌉). Its space complexity is O(b^⌈C∗/ε⌉). It is optimal.
What is Depth First Search or DFS?,Expands one of the nodes at the deepest level of the tree
Describe Depth First Search or DFS,Expands one of the nodes at the deepest level of the tree
Describe Uniform-Cost Search or UCS,"Expand root first, then expand least-cost unexpanded node"
How to implement Depth First Search or DFS?,QUEUEING FUNCTION = insert newly generated states at the front of the queue (thus making it a stack ). It also can alternatively be implemented by recursive function calls 
What are the properties of Depth First Search or DFS?,It isn't complete. Its time complexity is O(b^m). Its space complexity is O(bm). It isn't optimal.
What is Depth Limited Search or DLS?,Expands nodes like Depth First Search but imposes a cutoff on the maximum depth of path.
Describe Depth Limited Search or DLS,Expands nodes like Depth First Search but imposes a cutoff on the maximum depth of path.
What are the properties of Depth Limited Search or DLS?,It is complete. Its time complexity is O(b^k). Its space complexity is O(bk). It isn't optimal.
What is Iterative Deepening Search or IDS?,"Tries to combine the benefits of depth-first (low memory) and breadth-first (optimal and complete) by doing a series of depthlimited searches to depth 1, 2, 3, etc. Early states will be expanded multiple times, but that might not matter too much because most of the nodes are near the leaves."
Describe Iterative Deepening Search or IDS,"Tries to combine the benefits of depth-first (low memory) and breadth-first (optimal and complete) by doing a series of depthlimited searches to depth 1, 2, 3, etc. Early states will be expanded multiple times, but that might not matter too much because most of the nodes are near the leaves."
What are the properties of Iterative Deepening Search or IDS?,It is complete. Its time complexity is O(b^d). Its space complexity is O(bd). It is optimal.
What is Bidirectional Search or BS?,"Search both forward from the initial state and backward from the goal, and stop when the two searches meet in the middle"
Describe Bidirectional Search or BS,"Search both forward from the initial state and backward from the goal, and stop when the two searches meet in the middle"
What are the properties of Bidirectional Search or BS?,It is complete. Its time complexity is O(b^d/2). Its space complexity is O(b^d/2).
what is the time complexity of breadth first search?,"O(b^d)"
what is the time complexity of Depth first search?,"O(b^m)"
what is the time complexity of uniform cost search?,O(b^⌈C∗/ε⌉)
