who is the lecturer for COMP9414?,Dr AD Blair
Is breadth first seach complete?,It is complete.
Is BFS complete?,It is complete.
Is bfs complete?,It is complete.
Is breadth first seach optimal?,It is optimal.
Is BFS optimal?,It is optimal.
Is bfs optimal?,It is optimal.
How to implement breadth first search?,QUEUEING-FUNCTION = put newly generated successors at end of queue
What is Depth First Search?,Expands one of the nodes at the deepest level of the tree
What is DFS?,Expands one of the nodes at the deepest level of the tree
What are the properties of Depth First Search?,It isn't complete. Its time complexity is O(b^m). Its space complexity is O(bm). It isn't optimal.
What are the properties of DFS?,It isn't complete. Its time complexity is O(b^m). Its space complexity is O(bm). It isn't optimal.
How to implement depth first search?,QUEUEING FUNCTION = insert newly generated states at the front of the queue (thus making it a stack ). It also can alternatively be implemented by recursive function calls 
What is the time complexity of depth first search?,O(b^m)
What is the time complexity of DFS?,O(b^m)
What is the space complexity of depth first search?,O(bm)
What is the space complexity of DFS?,O(bm)
Is depthth first seach complete?,It isn't complete.
Is DFS complete?,It isn't complete.
Is depth first seach optimal?,It isn't optimal.
Is DFS optimal?,It isn't optimal.
How to implement Depth First Search?,QUEUEING FUNCTION = insert newly generated states at the front of the queue (thus making it a stack ). It also can alternatively be implemented by recursive function calls 
What is Uniform Cost Search?,"Expand root first, then expand least-cost unexpanded node"
What is UCS?,"Expand root first, then expand least-cost unexpanded node"
What are the properties of Uniform Cost Search or UCS?,It is complete. Its time complexity is O(b^⌈C∗/ε⌉). Its space complexity is O(b^⌈C∗/ε⌉). It is optimal.
What are the properties of UCS?,It is complete. Its time complexity is O(b^⌈C∗/ε⌉). Its space complexity is O(b^⌈C∗/ε⌉). It is optimal.
What is the time complexity of Uniform Cost Search?,O(b^⌈C∗/ε⌉)
What is the time complexity of UCS?,O(b^⌈C∗/ε⌉)
Is Uniform Cost Search complete?,It is complete.
Is UCS complete?,It is complete.
Is Uniform Cost Search optimal?,It is optimal.
Is UCS optimal?,It is optimal.
What is alpha beta pruning?,"Alpha–beta pruning is a search algorithm that seeks to decrease the number of nodes that are evaluated by the minimax algorithm in its search tree. It is an adversarial search algorithm used commonly for machine playing of two-player games (Tic-tac-toe, Chess, Go, etc.). It stops evaluating a move when at least one possibility has been found that proves the move to be worse than a previously examined move. Such moves need not be evaluated further. When applied to a standard minimax tree, it returns the same move as minimax would, but prunes away branches that cannot possibly influence the final decision."
What does alpha means in alpha beta pruning?,"α is the best value for us found so far, off the current path"
What does beta means in alpha beta pruning?,"β is the best value for opponent found so far, off the current path"
What are the Properties of  alpha beta?,"α-β pruning is guaranteed to give the same result as minimax, but speeds up the computation substantially. With “perfect ordering,” time complexity = O(b^m/2)"
What is Q learning?,"For each s ∈ S, let V ∗ ( s ) be the maximum discounted reward obtainable from s, and let Q ( s,a ) be the discounted reward available by first doing action a and then acting optimally"
What is uncertainty in AI?,"In many situations, an AI agent has to choose an action based o n incomplete information."
How to deal with uncertainty in AI?,"1.Default or nonmonotonic logic:Assume my car does not have a flat tire, etc. 2. Probability: Given the available evidence,A30 will get me there on time with probability 0.04"
What is probability?,"Probabilistic assertions summarize effects of Laziness: failure to enumerate exceptions, qualifications, etc and Ignorance: lack of relevant facts, initial conditions, etc."
How to make decisions under uncertainty?,"Depends on my preferences for missing flight vs. airport cuisine, etc.Utility theory is used to represent and infer preferences. Decision theory = utility theory + probability theory"
How to do decisions under uncertainty?,"Depends on my preferences for missing flight vs. airport cuisine, etc.Utility theory is used to represent and infer preferences. Decision theory = utility theory + probability theory"
What is random variables?,A random variable (r.v.) is a function from sample points to some range
What is prior probability?,Prior or unconditional probabilities of propositions correspond to belief prior to arrival of any (new) evidence.
What is joint probability?,"Joint probability distribution for a set of r.v.’s gives the probability of every atomic event on those r.v’s (i.e., every sample point)"
What is probabilistic agents?,"We consider an Agent whose World Model consists not of a set of facts, but rather a set of probabilities of certain facts being true, or certain random variables taking particular values."
What is probabilistic agent?,"We consider an Agent whose World Model consists not of a set of facts, but rather a set of probabilities of certain facts being true, or certain random variables taking particular values."
What is Bayes rules?,The formula for conditional probability can be manipulated to find a relationship when the two variables are swapped:P(a∧b) =P(a|b)P(b) =P(b|a)P(a)
What is knowledge based agent?,"The agent must be able to: represent states, actions, etc."
What is backward chaining?,"Backward Chaining instead maintains a list of subgoals that it is trying to prove. Initially, this list consists of the ultimate goal α"
What is forward chaining?,Look for a rule p1 ∧...∧ pn ⇒ q such that all the clauses on the left hand side are already in the KB.
What is conjunctive normal form?,"In order to apply Resolution, we must first convert the KB into Conjunctive Normal Form (CNF)."
